COU,Country,IND,Indicator,SEX,Sex,AGE,Age Group,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
MEX,Mexico,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,78,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,23,B,Break
ISR,Israel,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,14.3,,
GRC,Greece,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,8.8,,
GBR,United Kingdom,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,49.7,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,3.6,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,86.5,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,39.9,,
EST,Estonia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,28.2,,
USA,United States,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,7.9,,
ISR,Israel,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,5.8,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,23.5,,
SVK,Slovak Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,69.6,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,9.6,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,65.2,,
USA,United States,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,63.8,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,2.3,u,Low reliability
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,85.3,,
SVK,Slovak Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,17.6,,
USA,United States,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,15.5,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,7.4,,
HUN,Hungary,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,73.1,,
FRA,France,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,22.5,,
CHE,Switzerland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,75.6,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,79.5,,
NZL,New Zealand,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,15.9,,
DNK,Denmark,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,69.6,,
KOR,Korea,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,3.2,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,39.6,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,66.9,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,53,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,66.8,,
NLD,Netherlands,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,4,,
AUS,Australia,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,67.5,,
OAVG,OECD - Average,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,17.4,E,Estimated value
AUT,Austria,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,78.6,,
USA,United States,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,45,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,40.6,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,73.1,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,59.9,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,69.8,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,25.4,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,75.4,,
NZL,New Zealand,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,72.4,,
AUT,Austria,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,79.5,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,4.7,,
CHL,Chile,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,20.8,,
ISL,Iceland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,0,E,Estimated value
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,75.7,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,72.7,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,22.7,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,74.2,,
FIN,Finland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,6,,
AUS,Australia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,71.6,,
MEX,Mexico,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,75.1,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,7.7,,
DNK,Denmark,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,60,,
GBR,United Kingdom,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,20.8,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,4.9,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,52.9,,
TUR,Turkey,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,19.5,,
NZL,New Zealand,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,6,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,51.8,,
FIN,Finland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,6.3,,
NOR,Norway,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,87.2,,
CAN,Canada,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,84,,
POL,Poland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,9.4,,
FRA,France,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,27.9,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,34,,
POL,Poland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,10.1,,
ESP,Spain,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,13.6,,
NLD,Netherlands,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,3.1,,
FRA,France,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,9.2,,
AUT,Austria,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,32.8,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,2.5,,
MEX,Mexico,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,55.8,,
LUX,Luxembourg,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,3.6,,
ESP,Spain,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,19.1,,
IRL,Ireland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,11.4,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,63.7,,
USA,United States,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,8.8,,
ISL,Iceland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,8.1,,
GRC,Greece,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,22.6,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,4.6,,
NLD,Netherlands,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,11.3,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,12.5,,
SVN,Slovenia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,25,,
DNK,Denmark,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,84.3,,
ISL,Iceland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,86.9,,
SVN,Slovenia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,82.9,,
PRT,Portugal,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,28.6,,
LUX,Luxembourg,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,2.9,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,57.3,,
ZAF,South Africa,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,34.7,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,9.1,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,4.7,,
CHE,Switzerland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,90.6,,
SWE,Sweden,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,6.7,,
CAN,Canada,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,54.2,,
SVN,Slovenia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,7.5,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,7.3,,
ISL,Iceland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,79,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,23.2,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,5.4,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,81.1,,
LUX,Luxembourg,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,4.4,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,2.7,,
MEX,Mexico,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,28.7,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,39.7,,
BEL,Belgium,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,3.4,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,29,,
ITA,Italy,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,3.8,,
USA,United States,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,70.9,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,48,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,6.4,,
AUS,Australia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,52.3,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,3.6,,
AUS,Australia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,3.9,,
BEL,Belgium,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,21.4,,
KOR,Korea,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,1.9,,
NLD,Netherlands,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,5.5,,
BEL,Belgium,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,7.5,,
LUX,Luxembourg,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,18.1,,
AUS,Australia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,59.7,,
CZE,Czech Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,7.9,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,4.7,,
POL,Poland,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,71.8,,
TUR,Turkey,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,30.9,,
BEL,Belgium,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,6.8,,
AUS,Australia,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,79.2,,
HUN,Hungary,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,9.3,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,69.2,,
EST,Estonia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,61.2,,
NOR,Norway,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,50.2,,
ESP,Spain,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,19.4,,
HUN,Hungary,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,9.3,,
SWE,Sweden,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,6.3,,
SVK,Slovak Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,65.1,,
EST,Estonia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,12.7,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,8.8,,
